"Image","AN","CA","DI","FE","HA","NE","SA","SCRAM"
"22M_SA_O.BMP",0,0,0,0,0,0,1,0
"23M_AN_C.bmp",1,0,0,0,0,0,0,0
"23M_CA_C.BMP",0,1,0,0,0,0,0,0
"23M_DI_C.BMP",0,0,1,0,0,0,0,0
"23M_DI_O.BMP",0,0,1,0,0,0,0,0
"23M_DI_O.BMP",0,0,1,0,0,0,0,0
"23M_FE_C.BMP",0,0,0,1,0,0,0,0
"23M_FE_O.BMP",0,0,0,1,0,0,0,0
"23M_HA_C.BMP",0,0,0,0,1,0,0,0
"23M_HA_O.BMP",0,0,0,0,1,0,0,0
"23M_HA_O.BMP",0,0,0,0,1,0,0,0
"23M_NE_C.BMP",0,0,0,0,0,1,0,0
"23M_NE_O.BMP",0,0,0,0,0,1,0,0
"23M_SA_C.BMP",0,0,0,0,0,0,1,0
"23M_SA_O.BMP",0,0,0,0,0,0,1,0
"24M_AN_C.bmp",1,0,0,0,0,0,0,0
"24M_AN_O.BMP",1,0,0,0,0,0,0,0
"24M_CA_C.BMP",0,1,0,0,0,0,0,0
"24M_CA_O.BMP",0,1,0,0,0,0,0,0
"24M_DI_C.BMP",0,0,1,0,0,0,0,0
"24M_DI_O.BMP",0,0,1,0,0,0,0,0
"24M_FE_O.BMP",0,0,0,1,0,0,0,0
"24M_HA_C.BMP",0,0,0,0,1,0,0,0
"24M_HA_O.BMP",0,0,0,0,1,0,0,0
"24M_NE_C.BMP",0,0,0,0,0,1,0,0
"24M_NE_O.BMP",0,0,0,0,0,1,0,0
"24M_SA_C.BMP",0,0,0,0,0,0,1,0
"24M_SA_O.BMP",0,0,0,0,0,0,1,0
"25M_AN_C.bmp",1,0,0,0,0,0,0,0
"25M_AN_O.BMP",1,0,0,0,0,0,0,0
"25M_CA_C.BMP",0,1,0,0,0,0,0,0
"25M_CA_O.BMP",0,1,0,0,0,0,0,0
"25M_FE_O.BMP",0,0,0,1,0,0,0,0
"25M_HA_C.BMP",0,0,0,0,1,0,0,0
"25M_HA_O.BMP",0,0,0,0,1,0,0,0
"25M_NE_C.BMP",0,0,0,0,0,1,0,0
"25M_SA_C.bmp",0,0,0,0,0,0,1,0
"25M_SA_O.BMP",0,0,0,0,0,0,1,0
"26M_AN_C.bmp",1,0,0,0,0,0,0,0
"26M_AN_O.BMP",1,0,0,0,0,0,0,0
"26M_CA_C.BMP",0,1,0,0,0,0,0,0
"26M_CA_O.BMP",0,1,0,0,0,0,0,0
"26M_DI_C.BMP",0,0,1,0,0,0,0,0
"26M_DI_O.BMP",0,0,1,0,0,0,0,0
"26M_FE_C.BMP",0,0,0,1,0,0,0,0
"26M_FE_O.BMP",0,0,0,1,0,0,0,0
"26M_HA_C.BMP",0,0,0,0,1,0,0,0
"26M_HA_O.BMP",0,0,0,0,1,0,0,0
"26M_NE_C.BMP",0,0,0,0,0,1,0,0
"26M_NE_O.BMP",0,0,0,0,0,1,0,0
"26M_SA_C.BMP",0,0,0,0,0,0,1,0
"26M_SA_O.BMP",0,0,0,0,0,0,1,0
"27M_AN_C.bmp",1,0,0,0,0,0,0,0
"27M_AN_O.BMP",1,0,0,0,0,0,0,0
"27M_CA_O.BMP",0,1,0,0,0,0,0,0
"27M_DI_C.BMP",0,0,1,0,0,0,0,0
"27M_DI_O.BMP",0,0,1,0,0,0,0,0
"27M_FE_C.BMP",0,0,0,1,0,0,0,0
"27M_FE_O.BMP",0,0,0,1,0,0,0,0
"27M_HA_O.BMP",0,0,0,0,1,0,0,0
"27M_NE_C.BMP",0,0,0,0,0,1,0,0
"27M_NE_O.BMP",0,0,0,0,0,1,0,0
"27M_SA_C.BMP",0,0,0,0,0,0,1,0
"27M_SA_O.BMP",0,0,0,0,0,0,1,0
"28M_AN_C.bmp",1,0,0,0,0,0,0,0
"28M_AN_O.BMP",1,0,0,0,0,0,0,0
"28M_CA_C.BMP",0,1,0,0,0,0,0,0
"28M_DI_C.BMP",0,0,1,0,0,0,0,0
"28M_DI_O.BMP",0,0,1,0,0,0,0,0
"28M_FE_C.BMP",0,0,0,1,0,0,0,0
"28M_FE_O.BMP",0,0,0,1,0,0,0,0
"28M_HA_C.BMP",0,0,0,0,1,0,0,0
"28M_NE_C.BMP",0,0,0,0,0,1,0,0
"28M_NE_O.BMP",0,0,0,0,0,1,0,0
"28M_SA_C.BMP",0,0,0,0,0,0,1,0
"28M_SA_O.BMP",0,0,0,0,0,0,1,0
"29M_AN_C.bmp",1,0,0,0,0,0,0,0
"29M_AN_O.BMP",1,0,0,0,0,0,0,0
"29M_CA_O.BMP",0,1,0,0,0,0,0,0
"29M_DI_C.BMP",0,0,1,0,0,0,0,0
"29M_DI_O.BMP",0,0,1,0,0,0,0,0
"29M_FE_C.BMP",0,0,0,1,0,0,0,0
"29M_FE_O.BMP",0,0,0,1,0,0,0,0
"29M_HA_C.BMP",0,0,0,0,1,0,0,0
"29M_HA_C.BMP",0,0,0,0,1,0,0,0
"29M_HA_O.BMP",0,0,0,0,1,0,0,0
"29M_HA_O.BMP",0,0,0,0,1,0,0,0
"29M_NE_O.BMP",0,0,0,0,0,1,0,0
"29M_SA_C.BMP",0,0,0,0,0,0,1,0
"29M_SA_O.BMP",0,0,0,0,0,0,1,0
"30M_AN_C.bmp",1,0,0,0,0,0,0,0
"30M_AN_O.BMP",1,0,0,0,0,0,0,0
"30M_CA_C.BMP",0,1,0,0,0,0,0,0
"30M_CA_O.BMP",0,1,0,0,0,0,0,0
"30M_DI_O.BMP",0,0,1,0,0,0,0,0
"30M_DI_O.BMP",0,0,1,0,0,0,0,0
"30M_FE_C.BMP",0,0,0,1,0,0,0,0
"30M_FE_O.BMP",0,0,0,1,0,0,0,0
"30M_HA_C.BMP",0,0,0,0,1,0,0,0
"30M_HA_O.BMP",0,0,0,0,1,0,0,0
"30M_HA_O.BMP",0,0,0,0,1,0,0,0
"30M_NE_C.BMP",0,0,0,0,0,1,0,0
"30M_NE_O.BMP",0,0,0,0,0,1,0,0
"30M_SA_C.BMP",0,0,0,0,0,0,1,0
"30M_SA_O.BMP",0,0,0,0,0,0,1,0
"31M_AN_C.bmp",1,0,0,0,0,0,0,0
"31M_AN_O.BMP",1,0,0,0,0,0,0,0
"31M_CA_C.BMP",0,1,0,0,0,0,0,0
"31M_DI_C.BMP",0,0,1,0,0,0,0,0
"31M_DI_O.BMP",0,0,1,0,0,0,0,0
"31M_DI_O.BMP",0,0,1,0,0,0,0,0
"31M_FE_C.BMP",0,0,0,1,0,0,0,0
"31M_FE_O.BMP",0,0,0,1,0,0,0,0
"31M_HA_C.BMP",0,0,0,0,1,0,0,0
"31M_HA_O.BMP",0,0,0,0,1,0,0,0
"31M_NE_C.BMP",0,0,0,0,0,1,0,0
"31M_NE_O.BMP",0,0,0,0,0,1,0,0
"31M_SA_C.BMP",0,0,0,0,0,0,1,0
"32M_AN_C.bmp",1,0,0,0,0,0,0,0
"32M_AN_O.BMP",1,0,0,0,0,0,0,0
"32M_CA_C.BMP",0,1,0,0,0,0,0,0
"32M_CA_O.BMP",0,1,0,0,0,0,0,0
"32M_DI_C.BMP",0,0,1,0,0,0,0,0
"32M_DI_O.BMP",0,0,1,0,0,0,0,0
"32M_DI_O.BMP",0,0,1,0,0,0,0,0
"32M_FE_C.BMP",0,0,0,1,0,0,0,0
"32M_FE_O.BMP",0,0,0,1,0,0,0,0
"32M_HA_C.BMP",0,0,0,0,1,0,0,0
"32M_HA_O.BMP",0,0,0,0,1,0,0,0
"32M_NE_C.BMP",0,0,0,0,0,1,0,0
"32M_NE_O.BMP",0,0,0,0,0,1,0,0
"32M_SA_C.BMP",0,0,0,0,0,0,1,0
"32M_SA_O.BMP",0,0,0,0,0,0,1,0
"33M_AN_C.bmp",1,0,0,0,0,0,0,0
"33M_AN_O.BMP",1,0,0,0,0,0,0,0
"33M_CA_C.BMP",0,1,0,0,0,0,0,0
"33M_CA_O.BMP",0,1,0,0,0,0,0,0
"33M_DI_C.BMP",0,0,1,0,0,0,0,0
"33M_FE_C.BMP",0,0,0,1,0,0,0,0
"33M_FE_O.BMP",0,0,0,1,0,0,0,0
"33M_HA_C.BMP",0,0,0,0,1,0,0,0
"33M_HA_O.BMP",0,0,0,0,1,0,0,0
"33M_NE_C.BMP",0,0,0,0,0,1,0,0
"33M_NE_O.BMP",0,0,0,0,0,1,0,0
"33M_SA_C.BMP",0,0,0,0,0,0,1,0
"33M_SA_O.BMP",0,0,0,0,0,0,1,0
"34M_AN_C.bmp",1,0,0,0,0,0,0,0
"34M_AN_O.BMP",1,0,0,0,0,0,0,0
"34M_CA_C.BMP",0,1,0,0,0,0,0,0
"34M_DI_C.BMP",0,0,1,0,0,0,0,0
"34M_FE_C.BMP",0,0,0,1,0,0,0,0
"34M_FE_O.BMP",0,0,0,1,0,0,0,0
"34M_HA_C.BMP",0,0,0,0,1,0,0,0
"34M_HA_O.BMP",0,0,0,0,1,0,0,0
"34M_NE_C.BMP",0,0,0,0,0,1,0,0
"34M_NE_O.BMP",0,0,0,0,0,1,0,0
"34M_SA_C.BMP",0,0,0,0,0,0,1,0
"34M_SA_O.BMP",0,0,0,0,0,0,1,0
"35M_AN_C.bmp",1,0,0,0,0,0,0,0
"35M_AN_O.BMP",1,0,0,0,0,0,0,0
"35M_CA_C.BMP",0,1,0,0,0,0,0,0
"35M_FE_C.BMP",0,0,0,1,0,0,0,0
"35M_FE_O.BMP",0,0,0,1,0,0,0,0
"35M_HA_C.BMP",0,0,0,0,1,0,0,0
"35M_HA_O.BMP",0,0,0,0,1,0,0,0
"35M_NE_C.BMP",0,0,0,0,0,1,0,0
"35M_NE_O.BMP",0,0,0,0,0,1,0,0
"35M_SA_O.BMP",0,0,0,0,0,0,1,0
"36M_AN_C.bmp",1,0,0,0,0,0,0,0
"36M_AN_O.BMP",1,0,0,0,0,0,0,0
"36M_CA_C.BMP",0,1,0,0,0,0,0,0
"36M_DI_C.BMP",0,0,1,0,0,0,0,0
"36M_DI_O.BMP",0,0,1,0,0,0,0,0
"36M_FE_C.BMP",0,0,0,1,0,0,0,0
"36M_FE_O.BMP",0,0,0,1,0,0,0,0
"36M_HA_C.BMP",0,0,0,0,1,0,0,0
"36M_HA_O.BMP",0,0,0,0,1,0,0,0
"36M_HA_O.BMP",0,0,0,0,1,0,0,0
"36M_NE_C.BMP",0,0,0,0,0,1,0,0
"36M_NE_O.BMP",0,0,0,0,0,1,0,0
"36M_SA_C.BMP",0,0,0,0,0,0,1,0
